player_name,yearDraft,yearCombine,numberPickOverall,position,height,weight,wingspan,reach_standing,standing_vertical,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,lengthHand,widthHand,body_fat_pct,drafted
Shaun Pruitt,,2008,,C-PF,2.04,109.86,2.16,273.05,68.58,82.55,10.0,11.3,3.4,,,13.8,False
Jon Leuer,2011.0,2011,40.0,PF,2.08,101.24,2.13,267.97,74.93,92.71,14.0,10.82,3.36,22.22,24.76,5.4,True
Ali Traore,,2007,,C-PF,2.05,112.94,2.24,275.59,63.5,73.66,11.0,12.16,3.52,,,12.1,False
Thon Maker,2016.0,2016,10.0,PF,2.13,97.98,2.21,280.67,81.28,92.71,,11.15,3.33,22.22,24.13,6.05,True
E'Twaun Moore,2011.0,2011,55.0,SG,1.89,86.82,2.07,252.73,81.28,87.63,,11.12,3.31,22.86,25.4,7.6,True
Ian Vouyoukas,,2006,,C-PF,2.04,121.11,2.15,275.59,58.42,71.12,8.0,13.7,3.72,,,14.8,False
Eric Williams,,2006,,C-PF,2.01,129.27,2.24,270.51,72.39,73.66,17.0,11.71,3.56,,,13.0,False
Mark Tyndale,,2008,,SG-SF,1.9,98.43,2.11,262.89,68.58,85.09,5.0,12.52,3.14,,,6.7,False
Vander Blue,,2013,,SG,1.92,89.54,1.98,255.27,71.12,95.25,4.0,10.4,3.14,21.59,24.13,4.6,False
Pat Connaughton,2015.0,2015,41.0,SG,1.93,97.52,2.03,243.84,95.25,111.76,13.0,10.58,3.2,21.59,23.5,10.2,True
Daniel Hamilton,2016.0,2016,56.0,SG-SF,1.99,89.36,2.06,262.89,66.04,73.66,,11.48,3.4,22.86,21.59,5.95,True
Shane Larkin,2013.0,2013,18.0,PG,1.78,77.47,1.8,227.33,87.63,111.76,12.0,10.64,3.08,19.05,22.22,3.8,True
John Salmons,2002.0,2002,26.0,SF-SG,1.97,93.89,2.09,264.16,77.47,87.63,12.0,11.35,3.25,,,,True
Scott Machado,,2012,,PG,1.85,93.35,1.93,240.03,68.58,82.55,17.0,11.26,3.3,21.59,24.13,5.8,False
Cedric Simmons,2006.0,2006,15.0,PF-C,2.04,101.15,2.24,275.59,77.47,88.9,15.0,11.05,3.31,,,5.6,True
Charles Jenkins,2011.0,2011,44.0,PG-SG,1.87,98.16,2.02,245.11,74.93,86.36,16.0,11.68,3.18,21.59,22.86,4.3,True
Aleksander Djuric,,2003,,C-PF,2.08,114.76,2.13,274.32,59.69,69.85,3.0,11.97,3.65,,,16.3,False
Ersan Ilyasova,2005.0,2005,36.0,SF,2.03,94.71,2.17,278.13,55.88,76.2,2.0,11.59,3.56,,,,True
Tremont Waters,2019.0,2019,51.0,PG,1.77,78.2,1.89,237.49,77.47,102.87,5.0,10.76,3.07,20.32,24.76,6.6,True
Tu Holloway,,2012,,PG,1.79,84.73,1.97,240.03,71.12,88.9,12.0,11.0,3.42,22.22,25.4,8.5,False
David Lee,2005.0,2005,30.0,PF,2.03,104.1,2.13,270.51,77.47,82.55,14.0,10.8,3.19,,,,True
