player_name,yearDraft,yearCombine,numberPickOverall,position,height,weight,wingspan,reach_standing,standing_vertical,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,lengthHand,widthHand,body_fat_pct,drafted
Grant Jerrett,2013.0,2013,40.0,PF,2.05,105.23,2.18,276.86,72.39,86.36,2.0,11.85,3.51,21.59,23.5,10.05,True
Drago Pasalic,,2004,,PF,2.06,104.78,2.12,274.32,64.77,76.2,8.0,12.97,3.56,,,12.9,False
Jordan Farmar,2006.0,2006,26.0,PG,1.85,77.56,1.9,240.03,85.09,106.68,11.0,11.07,3.17,,,4.4,True
Brian Butch,,2008,,C-PF,2.07,104.14,2.11,274.32,60.96,67.31,9.0,11.87,3.52,,,10.8,False
Deshaun Thomas,2013.0,2013,58.0,SF,1.96,99.7,2.08,264.16,72.39,81.28,5.0,12.94,3.53,20.32,22.22,9.1,True
Patrick McCaw,2016.0,2016,38.0,PG-SG,1.96,82.01,2.08,255.27,76.2,96.52,,11.01,3.3,22.22,22.22,4.7,True
DaShaun Wood,,2007,,PG,1.8,75.75,1.85,233.68,80.01,87.63,13.0,11.4,3.23,,,5.4,False
Marko Jaric,2000.0,2000,30.0,SG-SF,1.99,95.25,2.06,264.16,69.85,83.82,,11.32,3.28,,,,True
Hollis Thompson,,2012,,SF,2.0,93.44,2.07,260.35,72.39,92.71,6.0,11.72,3.38,20.96,24.76,6.0,False
Melvin Frazier,2018.0,2018,35.0,SF-SG,1.94,89.9,2.18,266.7,78.74,102.87,0.0,11.24,3.08,24.13,24.13,7.9,True
Marcelus Kemp,,2008,,SG,1.9,100.24,2.04,262.89,66.04,76.2,9.0,11.79,3.39,,,9.0,False
Rashad McCants,2005.0,2005,14.0,SG,1.9,91.17,2.1,262.89,82.55,87.63,15.0,10.39,3.11,,,,True
Dwyane Wade,2003.0,2003,5.0,SG-SF,1.92,96.16,2.1,259.08,80.01,88.9,9.0,10.56,3.08,,,6.7,True
Devonte Graham,2018.0,2018,34.0,PG,1.84,84.55,1.99,243.84,78.74,93.98,14.0,11.28,3.21,21.59,24.13,4.8,True
Devin Robinson,,2017,,SF,2.01,86.0,2.15,269.24,90.17,105.41,10.0,12.85,3.23,23.5,26.04,3.2,False
LaQuinton Ross,,2014,,SF,1.99,108.27,2.18,269.24,63.5,78.74,,11.97,3.44,22.22,24.76,16.3,False
Paul Eboua,,2020,,SF-PF,1.98,100.79,2.22,274.32,83.82,90.17,,10.79,3.19,22.86,26.04,3.8,False
Nick Collison,2003.0,2003,12.0,PF,2.05,115.67,2.17,274.32,71.12,83.82,8.0,11.62,3.28,,,17.0,True
Patrick Patterson,2010.0,2010,14.0,PF,2.03,108.68,2.17,271.78,72.39,85.09,17.0,11.14,3.25,23.5,26.04,5.3,True
KZ Okpala,2019.0,2019,32.0,SF,2.01,95.07,2.18,270.51,77.47,93.98,9.0,10.88,3.38,23.5,23.5,4.6,True
Sylven Landesberg,,2010,,SG,1.95,95.25,2.06,255.27,71.12,81.28,8.0,11.59,3.36,22.22,27.3,11.6,False
Terence Dials,,2006,,PF-C,2.03,114.76,2.13,269.24,67.31,76.2,16.0,11.54,3.5,,,15.8,False
Alize Johnson,2018.0,2018,50.0,PF,2.01,98.25,2.05,261.62,63.5,78.74,8.0,11.83,3.38,21.59,24.76,8.1,True
Tyler Dorsey,2017.0,2017,41.0,SG,1.9,82.83,1.96,252.73,77.47,91.44,8.0,10.55,3.16,21.59,23.5,4.7,True
Taj Gray,,2006,,PF-SF,2.01,104.78,2.15,271.78,72.39,83.82,10.0,11.02,3.45,,,6.8,False
Chimezie Metu,2018.0,2018,49.0,PF-C,2.04,99.61,2.15,274.32,74.93,91.44,5.0,11.89,3.33,22.86,23.5,5.05,True
Artsiom Parakhouski,,2010,,C,2.09,121.65,2.16,278.13,64.77,67.31,16.0,12.07,3.33,22.86,26.67,6.0,False
TJ McConnell,,2015,,PG,1.84,85.18,1.88,245.11,66.04,80.01,7.0,10.95,3.3,19.05,17.78,7.3,False
Tyler Zeller,2012.0,2012,17.0,PF-C,2.11,112.22,2.13,265.43,76.2,86.36,16.0,11.13,3.4,22.86,24.76,6.4,True
Caleb Swanigan,2017.0,2016,26.0,PF,2.02,111.86,2.22,271.78,66.04,73.66,,12.8,,22.86,26.04,12.55,True
Ed Davis,2010.0,2010,13.0,PF,2.06,102.78,2.13,274.32,78.74,91.44,,11.7,3.21,23.5,25.4,10.0,True
Renaldo Balkman,2006.0,2006,20.0,SF-PF,1.96,93.44,2.16,265.43,77.47,88.9,9.0,11.58,3.22,,,4.9,True
Arthur Johnson,,2004,,PF-C,2.01,118.84,2.21,276.86,67.31,72.39,14.0,11.81,3.38,,,16.3,False
Keydren Clark,,2006,,PG,1.75,83.46,1.89,234.95,78.74,86.36,13.0,11.03,3.11,,,11.6,False
Marcus Denmon,2012.0,2012,59.0,SG,1.89,85.37,1.96,240.03,85.09,101.6,8.0,10.82,3.19,20.96,24.76,6.6,True
Charles Matthews,,2019,,SG,1.96,88.36,2.07,261.62,74.93,95.25,9.0,11.26,3.38,21.59,22.22,3.8,False
Glenn Robinson III,2014.0,2014,40.0,SF,1.97,95.89,2.08,255.27,92.71,105.41,,11.22,3.15,22.86,24.13,5.05,True
Antanas Kavaliauskas,,2007,,PF,2.06,107.5,2.1,270.51,64.77,76.2,19.0,11.19,3.42,,,7.7,False
Ivan Radenovic,,2007,,PF,2.06,102.51,2.13,269.24,58.42,71.12,7.0,11.61,3.6,,,9.8,False
Maurice Harkless,2012.0,2012,15.0,SF,2.01,93.71,2.13,260.35,82.55,93.98,5.0,10.87,3.25,23.5,26.04,5.3,True
Ray Spalding,2018.0,2018,56.0,PF,2.06,97.7,2.25,276.86,66.04,81.28,12.0,11.48,3.34,23.5,22.86,5.55,True
Rashad Anderson,,2006,,SG,1.91,101.6,2.01,254.0,69.85,82.55,13.0,11.77,3.48,,,17.3,False
Enes Kanter,2011.0,2011,3.0,PF-C,2.08,117.57,2.17,278.13,66.04,82.55,14.0,11.3,3.26,24.13,27.3,5.9,True
Wesley Wilson,,2003,,C-PF,2.09,116.57,2.21,280.67,68.58,77.47,20.0,12.19,3.3,,,12.4,False
Charlie Villanueva,2005.0,2005,7.0,PF-SF,2.06,107.32,2.14,276.86,66.04,78.74,11.0,10.86,3.3,,,,True
Bruno Fernando,2019.0,2019,34.0,C,2.05,107.5,2.22,279.4,74.93,85.09,13.0,11.29,3.21,23.5,25.4,5.4,True
Kobi Simmons,,2017,,PG,1.91,75.39,1.98,251.46,77.47,97.79,3.0,11.15,3.18,21.59,24.13,5.0,False
Daniel Gafford,2019.0,2019,38.0,PF,2.06,107.77,2.2,279.4,82.55,92.71,5.0,11.61,3.25,23.5,23.5,5.9,True
Nate Williams,,2004,,PF-SF,2.04,108.86,2.17,278.13,59.69,66.04,1.0,12.6,3.35,,,12.4,False
James Mays,,2008,,PF,2.0,102.97,2.18,266.7,74.93,88.9,13.0,11.23,3.19,,,8.8,False
Jerry Green,,2001,,PG-SG,1.87,81.19,1.99,251.46,72.39,88.9,13.0,11.7,3.17,,,5.5,False
Kwame Brown,2001.0,2001,1.0,PF-C,2.08,110.22,2.16,274.32,76.2,83.82,17.0,11.59,3.45,,,8.9,True
Reggie Perry,2020.0,2019,57.0,SF-PF,2.03,113.76,2.15,269.24,72.39,80.01,15.0,12.46,3.3,22.86,25.4,6.7,True
Hamidou Diallo,2018.0,2017,45.0,SG-SF,1.92,89.54,2.11,257.81,87.63,113.03,0.0,10.88,3.11,21.59,24.13,5.2,True
Kirk Haston,2001.0,2001,16.0,PF-SF,2.03,109.77,2.14,269.24,68.58,80.01,11.0,12.25,3.35,,,10.5,True
